id,sentence,pos_triplet,neg_triplet,pos_image_id,neg_image_id,neg_value,sentence_id
1,a man is sitting at a table,"man,sit,table","('dog', 'sit', 'table')",2358258,2357994,subject,215
2,a man is sitting at a table,"man,sit,table","('dog', 'sit', 'table')",2358258,2400993,subject,215
3,a man is sitting at a table,"man,sit,table","('cat', 'sit', 'table')",2358258,2368732,subject,215
4,a man is sitting at a table,"man,sit,table","('cat', 'sit', 'table')",2358258,2416600,subject,215
5,a man is sitting at a table,"man,sit,table","('girl', 'sit', 'table')",2358258,2362132,subject,215
6,a man is sitting at a table,"man,sit,table","('dog', 'sit', 'table')",2358258,2318432,subject,215
7,a man is walking on grass.,"man,walk,grass","('woman', 'walk', 'grass')",2407317,2362530,subject,195
8,a man is walking on grass.,"man,walk,grass","('woman', 'walk', 'grass')",2407317,1592658,subject,195
9,a man is walking on grass.,"man,walk,grass","('horse', 'walk', 'grass')",2407317,2386160,subject,195
10,a man is sitting on grass.,"man,sit,grass","('woman', 'sit', 'grass')",2374415,2383229,subject,54
11,a man is sitting on grass.,"man,sit,grass","('woman', 'sit', 'grass')",2374415,2416084,subject,54
12,a man is sitting on grass.,"man,sit,grass","('woman', 'sit', 'grass')",2393129,2383229,subject,54
13,a man is sitting on grass.,"man,sit,grass","('woman', 'sit', 'grass')",2393129,2416084,subject,54
14,a man is sitting on grass.,"man,sit,grass","('woman', 'sit', 'grass')",2398451,2383229,subject,54
15,a man is sitting on grass.,"man,sit,grass","('woman', 'sit', 'grass')",2398451,2416084,subject,54
16,a man is laying on grass.,"man,layingin,grass","('cat', 'laying in', 'grass')",2410770,2379026,subject,155
17,a man is laying on grass.,"man,layingin,grass","('dog', 'laying in', 'grass')",2410770,2354435,subject,155
18,a man is laying on grass.,"man,layingin,grass","('dog', 'laying in', 'grass')",2410770,2411072,subject,155
19,a man is laying on grass.,"man,layingin,grass","('dog', 'laying in', 'grass')",2410770,2369441,subject,155
20,a man is laying on grass.,"man,layingin,grass","('dog', 'laying in', 'grass')",2410770,2408498,subject,155
21,a man is laying on grass.,"man,layingin,grass","('cow', 'laying in', 'grass')",2410770,2341902,subject,155
22,a man is laying on grass.,"man,layingin,grass","('cow', 'laying in', 'grass')",2410770,2399253,subject,155
23,a woman is sitting in grass.,"woman,sit,grass","('man', 'sit', 'grass')",2383229,2374415,subject,268
24,a woman is sitting in grass.,"woman,sit,grass","('man', 'sit', 'grass')",2383229,2393129,subject,268
25,a woman is sitting in grass.,"woman,sit,grass","('man', 'sit', 'grass')",2383229,2398451,subject,268
26,a woman is sitting in grass.,"woman,sit,grass","('man', 'sit', 'grass')",2416084,2374415,subject,268
27,a woman is sitting in grass.,"woman,sit,grass","('man', 'sit', 'grass')",2416084,2393129,subject,268
28,a woman is sitting in grass.,"woman,sit,grass","('man', 'sit', 'grass')",2416084,2398451,subject,268
29,a woman is walking in grass.,"woman,walk,grass","('man', 'walk', 'grass')",2362530,2407317,subject,207
30,a woman is walking in grass.,"woman,walk,grass","('horse', 'walk', 'grass')",2362530,2386160,subject,207
31,a woman is walking in grass.,"woman,walk,grass","('man', 'walk', 'grass')",1592658,2407317,subject,207
32,a woman is walking in grass.,"woman,walk,grass","('horse', 'walk', 'grass')",1592658,2386160,subject,207
33,a cat is standing on grass.,"cat,stand,grass","('dog', 'stand', 'grass')",2324856,2326326,subject,72
34,a cat is standing on grass.,"cat,stand,grass","('dog', 'stand', 'grass')",2324856,2397731,subject,72
35,a cat is laying in grass.,"cat,layingin,grass","('man', 'laying in', 'grass')",2379026,2410770,subject,31
36,a cat is laying in grass.,"cat,layingin,grass","('dog', 'laying in', 'grass')",2379026,2354435,subject,31
37,a cat is laying in grass.,"cat,layingin,grass","('dog', 'laying in', 'grass')",2379026,2411072,subject,31
38,a cat is laying in grass.,"cat,layingin,grass","('dog', 'laying in', 'grass')",2379026,2369441,subject,31
39,a cat is laying in grass.,"cat,layingin,grass","('dog', 'laying in', 'grass')",2379026,2408498,subject,31
40,a cat is laying in grass.,"cat,layingin,grass","('cow', 'laying in', 'grass')",2379026,2341902,subject,31
41,a cat is laying in grass.,"cat,layingin,grass","('cow', 'laying in', 'grass')",2379026,2399253,subject,31
42,a cat is drinks the water.,"cat,drink,water","('woman', 'drink', 'water')",2344463,2319593,subject,131
43,a cat is drinks the water.,"cat,drink,water","('man', 'drink', 'water')",2344463,2351851,subject,131
44,a cat is drinks the water.,"cat,drink,water","('dog', 'drink', 'water')",2344463,2372988,subject,131
45,a cat is drinks the water.,"cat,drink,water","('dog', 'drink', 'water')",2344463,2400930,subject,131
46,a cat is drinks the water.,"cat,drink,water","('dog', 'drink', 'water')",2344463,2348412,subject,131
47,a cat is drinks the water.,"cat,drink,water","('horse', 'drink', 'water')",2344463,2375724,subject,131
48,a cat is drinks the water.,"cat,drink,water","('horse', 'drink', 'water')",2344463,2344338,subject,131
49,a cat is drinks the water.,"cat,drink,water","('horse', 'drink', 'water')",2344463,2362669,subject,131
50,a cat is drinks the water.,"cat,drink,water","('elephant', 'drink', 'water')",2344463,2403089,subject,131
51,a cat is drinks the water.,"cat,drink,water","('elephant', 'drink', 'water')",2344463,2408994,subject,131
52,a cat is drinks the water.,"cat,drink,water","('elephant', 'drink', 'water')",2344463,2351299,subject,131
53,a cat is drinking the water.,"cat,drink,water","('woman', 'drink', 'water')",2402707,2319593,subject,208
54,a cat is drinking the water.,"cat,drink,water","('man', 'drink', 'water')",2402707,2351851,subject,208
55,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2402707,2372988,subject,208
56,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2402707,2400930,subject,208
57,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2402707,2348412,subject,208
58,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2402707,2375724,subject,208
59,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2402707,2344338,subject,208
60,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2402707,2362669,subject,208
61,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2402707,2403089,subject,208
62,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2402707,2408994,subject,208
63,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2402707,2351299,subject,208
64,a cat is drinking the water.,"cat,drink,water","('woman', 'drink', 'water')",2415551,2319593,subject,208
65,a cat is drinking the water.,"cat,drink,water","('man', 'drink', 'water')",2415551,2351851,subject,208
66,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2415551,2372988,subject,208
67,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2415551,2400930,subject,208
68,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2415551,2348412,subject,208
69,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2415551,2375724,subject,208
70,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2415551,2344338,subject,208
71,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2415551,2362669,subject,208
72,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2415551,2403089,subject,208
73,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2415551,2408994,subject,208
74,a cat is drinking the water.,"cat,drink,water","('elephant', 'drink', 'water')",2415551,2351299,subject,208
75,a cat is drinking the water.,"cat,drink,water","('woman', 'drink', 'water')",2374475,2319593,subject,208
76,a cat is drinking the water.,"cat,drink,water","('man', 'drink', 'water')",2374475,2351851,subject,208
77,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2374475,2372988,subject,208
78,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2374475,2400930,subject,208
79,a cat is drinking the water.,"cat,drink,water","('dog', 'drink', 'water')",2374475,2348412,subject,208
80,a cat is drinking the water.,"cat,drink,water","('horse', 'drink', 'water')",2374475,2375724,subject,208
